city,city_ascii,lat,lng
Tokyo,Tokyo,35.6897,139.6922
Jakarta,Jakarta,-6.175,106.8275
Delhi,Delhi,28.61,77.23
Guangzhou,Guangzhou,23.13,113.26
Mumbai,Mumbai,19.0761,72.8775
Manila,Manila,14.5958,120.9772
Shanghai,Shanghai,31.2286,121.4747
São Paulo,Sao Paulo,-23.55,-46.6333
Seoul,Seoul,37.56,126.99
Mexico City,Mexico City,19.4333,-99.1333
Cairo,Cairo,30.0444,31.2358
New York,New York,40.6943,-73.9249
Dhaka,Dhaka,23.7639,90.3889
Beijing,Beijing,39.9067,116.3975
Kolkāta,Kolkata,22.5675,88.37
Bangkok,Bangkok,13.7525,100.4942
Shenzhen,Shenzhen,22.5415,114.0596
Moscow,Moscow,55.7558,37.6172
Buenos Aires,Buenos Aires,-34.6033,-58.3817
Lagos,Lagos,6.455,3.3841
Istanbul,Istanbul,41.0136,28.955
Karachi,Karachi,24.86,67.01
Bangalore,Bangalore,12.9789,77.5917
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019
Ōsaka,Osaka,34.6939,135.5022
Chengdu,Chengdu,30.66,104.0633
Tehran,Tehran,35.6892,51.3889
Kinshasa,Kinshasa,-4.3219,15.3119
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056
Chennai,Chennai,13.0825,80.275
Xi’an,Xi'an,34.2611,108.9422
Lahore,Lahore,31.5497,74.3436
Chongqing,Chongqing,29.5637,106.5504
Los Angeles,Los Angeles,34.1141,-118.4068
Baoding,Baoding,38.874,115.464
London,London,51.5072,-0.1275
Paris,Paris,48.8567,2.3522
Linyi,Linyi,35.1038,118.3564
Dongguan,Dongguan,23.021,113.752
Hyderābād,Hyderabad,17.3617,78.4747
Tianjin,Tianjin,39.1336,117.2054
Lima,Lima,-12.06,-77.0375
Wuhan,Wuhan,30.5934,114.3046
Nanyang,Nanyang,32.9987,112.5292
Hangzhou,Hangzhou,30.267,120.153
Foshan,Foshan,23.0214,113.1216
Nagoya,Nagoya,35.1833,136.9
Tongshan,Tongshan,34.204,117.284
Luanda,Luanda,-8.8383,13.2344
Zhoukou,Zhoukou,33.625,114.6418
Ganzhou,Ganzhou,25.831,114.933
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953
Heze,Heze,35.2343,115.4796
Quanzhou,Quanzhou,24.8744,118.6757
Johannesburg,Johannesburg,-26.2044,28.0456
Chicago,Chicago,41.8375,-87.6866
Nanjing,Nanjing,32.0608,118.7789
Jining,Jining,35.4151,116.5871
Hanoi,Hanoi,21,105.85
Pune,Pune,18.5203,73.8567
Fuyang,Fuyang,32.89,115.814
Ahmedabad,Ahmedabad,23.0225,72.5714
Bogotá,Bogota,4.7111,-74.0722
Shenyang,Shenyang,41.8025,123.4281
Dar es Salaam,Dar es Salaam,-6.8161,39.2803
Khartoum,Khartoum,15.6,32.5
Shangqiu,Shangqiu,34.415,115.656
Hong Kong,Hong Kong,22.3,114.2
Cangzhou,Cangzhou,38.3047,116.8387
Riyadh,Riyadh,24.6333,46.7167
Santiago,Santiago,-33.4372,-70.6506
Xingtai,Xingtai,37.0717,114.5048
Zhumadian,Zhumadian,33.014,114.022
Chattogram,Chattogram,22.335,91.8325
Surabaya,Surabaya,-7.2458,112.7378
Zhanjiang,Zhanjiang,21.2701,110.3575
Bijie,Bijie,27.284,105.292
Yancheng,Yancheng,33.3482,120.1626
Hengyang,Hengyang,26.894,112.572
Zunyi,Zunyi,27.722,107.031
Shaoyang,Shaoyang,27.2395,111.4679
Sūrat,Surat,21.1702,72.8311
Shangrao,Shangrao,28.4551,117.9431
Xinyang,Xinyang,32.149,114.091
Madrid,Madrid,40.4169,-3.7033
Baghdad,Baghdad,33.3153,44.3661
Maoming,Maoming,21.6627,110.9255
Jieyang,Jieyang,23.551,116.3727
Miami,Miami,25.784,-80.2101
Singapore,Singapore,1.3,103.8
Houston,Houston,29.786,-95.3885
Liaocheng,Liaocheng,36.4559,115.9852
Huanggang,Huanggang,30.4537,114.8724
Dalian,Dalian,38.9,121.6
Dallas,Dallas,32.7935,-96.7667
Qingdao,Qingdao,36.0669,120.3827
Yulin,Yulin,22.654,110.181
Douala,Douala,4.05,9.7
Qujing,Qujing,25.491,103.796
Nangandao,Nangandao,35.3036,113.9268
Philadelphia,Philadelphia,40.0077,-75.1339
Pudong,Pudong,31.2347,121.5064
Toronto,Toronto,43.7417,-79.3733
Zhengzhou,Zhengzhou,34.764,113.684
Dezhou,Dezhou,37.436,116.359
Nanchong,Nanchong,30.8372,106.1106
Jinan,Jinan,36.6702,117.0207
Giza,Giza,29.987,31.2118
Nairobi,Nairobi,-1.2864,36.8172
Guadalajara,Guadalajara,20.6767,-103.3475
Ankara,Ankara,39.93,32.85
Tai’an,Tai'an,36.202,117.087
Langfang,Langfang,39.5383,116.6835
Dazhou,Dazhou,31.2093,107.4678
Saint Petersburg,Saint Petersburg,59.9375,30.3086
Monterrey,Monterrey,25.6667,-100.3
Belo Horizonte,Belo Horizonte,-19.9167,-43.9333
Suzhou,Suzhou,33.6333,116.9683
Yongzhou,Yongzhou,26.42,111.613
Changde,Changde,29.031,111.699
Xiangyang,Xiangyang,32.01,112.122
Rangoon,Rangoon,16.795,96.16
Atlanta,Atlanta,33.7628,-84.422
Washington,Washington,38.9047,-77.0163
Zhaotong,Zhaotong,27.338,103.717
Zhangzhou,Zhangzhou,24.513,117.647
Melbourne,Melbourne,-37.8142,144.9631
Yichun,Yichun,27.816,114.417
Bozhou,Bozhou,33.8626,115.7742
Suqian,Suqian,33.9331,118.2831
Abidjan,Abidjan,5.3167,-4.0333
Ji’an,Ji'an,27.0912,114.9668
Guilin,Guilin,25.275,110.296
Pingdingshan,Pingdingshan,33.735,113.2999
Berlin,Berlin,52.52,13.405
Alexandria,Alexandria,31.1975,29.8925
Mianyang,Mianyang,31.468,104.679
Sydney,Sydney,-33.8678,151.21
Huanglongsi,Huanglongsi,34.795,114.345
Barcelona,Barcelona,41.3828,2.1769
Yuncheng,Yuncheng,35.0267,111.007
Cape Town,Cape Town,-33.9253,18.4239
Changsha,Changsha,28.228,112.939
Jeddah,Jeddah,21.5433,39.1728
Weinan,Weinan,34.5206,109.471
Chenzhou,Chenzhou,25.77,113.016
Jiangmen,Jiangmen,22.5789,113.0815
Jiujiang,Jiujiang,29.661,115.954
Xinpu,Xinpu,34.5966,119.2214
Yibin,Yibin,28.752,104.643
Huaihua,Huaihua,27.5698,110.0016
Yangzhou,Yangzhou,32.3912,119.4363
Taizhou,Taizhou,32.4567,119.9229
Kunming,Kunming,25.0464,102.7094
Yiyang,Yiyang,28.5549,112.356
Changchun,Changchun,43.897,125.326
Lu’an,Lu'an,31.736,116.52
Jiangguanchi,Jiangguanchi,34.0244,113.8201
Meizhou,Meizhou,24.289,116.122
Ürümqi,Urumqi,43.8225,87.6125
Suzhou,Suzhou,31.3,120.6194
Boston,Boston,42.3188,-71.0852
İzmir,Izmir,38.42,27.14
Guigang,Guigang,23.112,109.599
Shantou,Shantou,23.354,116.682
Kabul,Kabul,34.5253,69.1783
Xiaoganzhan,Xiaoganzhan,30.918,113.957
Bamako,Bamako,12.6392,-8.0028
Luzhou,Luzhou,28.871,105.442
Hefei,Hefei,31.8206,117.2273
Hengshui,Hengshui,37.739,115.669
Fortaleza,Fortaleza,-3.7275,-38.5275
Anqing,Anqing,30.5318,117.1153
Liuzhou,Liuzhou,24.3264,109.4281
Zhangjiakou,Zhangjiakou,40.769,114.886
Zhaoqing,Zhaoqing,23.05,112.4667
Shijiazhuang,Shijiazhuang,38.0425,114.51
Ningbo,Ningbo,29.8603,121.6245
Qiqihar,Qiqihar,47.3549,123.9182
Phoenix,Phoenix,33.5722,-112.0892
Fuzhou,Fuzhou,27.949,116.358
Chifeng,Chifeng,42.257,118.888
Xiaoxita,Xiaoxita,30.692,111.287
Amman,Amman,31.9497,35.9328
Chuzhou,Chuzhou,32.256,118.333
Linfen,Linfen,36.088,111.519
Qingyuan,Qingyuan,23.682,113.056
Xianyang,Xianyang,34.3299,108.7088
Loudi,Loudi,27.6998,111.9944
Binzhou,Binzhou,37.383,117.971
Zhuzhou,Zhuzhou,27.829,113.133
Taiyuan,Taiyuan,37.8704,112.5497
Nanning,Nanning,22.8167,108.3275
Harbin,Harbin,45.7576,126.6409
Abuja,Abuja,9.0667,7.4833
Yokohama,Yokohama,35.4442,139.6381
Suihua,Suihua,46.654,126.969
Zaozhuang,Zaozhuang,34.8109,117.3238
Detroit,Detroit,42.3834,-83.1024
Xiamen,Xiamen,24.4796,118.0889
Neijiang,Neijiang,29.5802,105.058
Montréal,Montreal,45.5089,-73.5617
Fuzhou,Fuzhou,26.0743,119.2964
Baicheng,Baicheng,23.903,106.619
Wuhu,Wuhu,31.3526,118.4331
Yulinshi,Yulinshi,38.2858,109.7341
Medan,Medan,3.5894,98.6739
Wenzhou,Wenzhou,27.9938,120.6993
Changzhou,Changzhou,31.811,119.974
Puyang,Puyang,35.7627,115.0292
Jiaozuo,Jiaozuo,35.2157,113.2419
Nanchang,Nanchang,28.683,115.858
Seattle,Seattle,47.6211,-122.3244
Ibadan,Ibadan,7.3964,3.9167
Casablanca,Casablanca,33.5333,-7.5833
Kumasi,Kumasi,6.7,-1.625
Deyang,Deyang,31.127,104.398
Busan,Busan,35.18,129.075
Hohhot,Hohhot,40.842,111.749
Hechi,Hechi,24.693,108.085
Algiers,Algiers,36.7539,3.0589
Tangshan,Tangshan,39.6294,118.1739
Shiyan,Shiyan,32.629,110.7987
Lucknow,Lucknow,26.85,80.95
Mashhad,Mashhad,36.3264,59.5433
San Francisco,San Francisco,37.7558,-122.4449
Boankra,Boankra,6.6944,-1.4028
Dubai,Dubai,25.2631,55.2972
Anshan,Anshan,41.108,122.994
Baojishi,Baojishi,34.363,107.238
Qinzhou,Qinzhou,21.981,108.654
Guiyang,Guiyang,26.647,106.63
Bengbu,Bengbu,32.917,117.389
Bazhou,Bazhou,31.868,106.748
Suining,Suining,30.533,105.593
Wuxi,Wuxi,31.491,120.312
Kotla Qasim Khan,Kotla Qasim Khan,32.5833,73.75
Hanzhong,Hanzhong,33.0664,107.0232
Putian,Putian,25.4526,119.0078
Zhenjiang,Zhenjiang,32.188,119.424
Guang’an,Guang'an,30.4564,106.6326
Faisalabad,Faisalabad,31.4167,73.0911
Changzhi,Changzhi,36.195,113.117
Tongren,Tongren,27.7316,109.1895
Leshan,Leshan,29.552,103.766
Santa Cruz de la Sierra,Santa Cruz de la Sierra,-17.7892,-63.1975
Qinhuangdao,Qinhuangdao,39.8882,119.5202
Jaipur,Jaipur,26.9,75.8
Xinzhou,Xinzhou,38.416,112.734
Lanzhou,Lanzhou,36.0606,103.8268
Wuzhou,Wuzhou,23.4767,111.279
Athens,Athens,37.9842,23.7281
San Diego,San Diego,32.8313,-117.1222
Addis Ababa,Addis Ababa,9.03,38.74
Taichung,Taichung,24.1439,120.6794
Huainan,Huainan,32.6314,117.0194
Guatemala City,Guatemala City,14.6133,-90.5353
Kuwait City,Kuwait City,29.3697,47.9783
Budapest,Budapest,47.4925,19.0514
Qincheng,Qincheng,34.5809,105.7311
Rizhao,Rizhao,35.417,119.527
Quezon City,Quezon City,14.65,121.0475
